route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,weelchair
100100255:255,442,255,Porte de Clignancourt - Stains Les Prévoyants - Garges Rond-point de la Lutèce,,3,,9c983a,ffffff,non
100100256:256,442,256,La Courneuve-Aubervilliers - Gare d'Enghien-les-Bains - Lycée d'Enghien,,3,,8d653a,ffffff,non
100100258:258,442,258,La Défense Grande Arche - St-Germain-en-Laye,,3,,ed1b2a,000000,oui
100100261:261,442,261,Mairie de Villeneuve-la-Garenne - Eglise de Franconville,,3,,ed1b2a,ffffff,non
100100262:262,442,262,La Défense Grande Arche - Maisons-Laffitte,,3,,bb499c,ffffff,oui
100100268:268,442,268,St-Denis Porte de Paris - St-Denis Université - Villiers-le-Bel-Gonesse,,3,,dfb03a,000000,non
100100269:269,442,269,Garges-Sarcelles - Hôtel de Ville d'Attainville,,3,,f68f4b,000000,non
100100270:270,442,270,Garges-Sarcelles - Villiers-le-Bel-Gonesse,,3,,f59eb3,000000,non
100100272:272,442,272,La Défense Grande Arche - Sartrouville De Gaulle - Sartrouville,,3,,f68f4b,000000,oui
100100274:274,442,274,Levallois Voltaire-Villiers - St-Denis Place Jean Poulmarch,,3,,ed1b2a,ffffff,non
100100275:275,442,275,La Défense Grande Arche - Hérold Mairie de Courbevoie - Pont de Levallois,,3,,ffcd02,000000,oui
100100276:276,442,276,La Défense Grande Arche - Gabriel Péri,,3,,ed1b2a,ffffff,oui
100100278:278,442,278,La Défense Grande Arche - Courbevoie Europe,,3,,c9a2cd,000000,oui
100100281:281,442,281,Joinville-le-Pont - Créteil Europarc,,3,,dfb03a,000000,oui
100100285:285,442,285,Villejuif Louis Aragon - Juvisy,,3,,bb4b9c,ffffff,oui
100100286:286,442,286,Villejuif Louis Aragon - Antony,,3,,c9a2cd,000000,oui
100100289:289,442,289,Porte de St-Cloud - Clamart Cité de la Plaine,,3,,bb4b9c,ffffff,NC
100100290:290,442,290,Issy-Val de Seine - Meudon-la-Forêt Europe Nord - Meudon-la-Forêt Pasteur,,3,,c9a2cd,000000,non
100100291:291,442,291,Pont de Sèvres - Vélizy Europe Sud,,3,,9c983a,ffffff,non
100100292:292,442,292,Rungis Marché International - Savigny-sur-Orge Z.A.C. Les Gâtines,,3,,f59eb3,000000,non
100100294:294,442,294,Châtillon-Montrouge - Igny,,3,,c9a2cd,000000,non
100100297:297,442,297,Porte d'Orléans - Antony - Longjumeau Place Charles Stéber,,3,,bb499c,ffffff,non
100100299:299,442,299,Porte d'Orléans - Mairie de Morangis,,3,,f68f4b,000000,oui
100100301:301,442,301,Bobigny Pablo Picasso - Val de Fontenay,,3,,cec92b,000000,non
100100302:302,442,302,Gare du Nord - La Courneuve 6 Routes,,3,,ffcd02,000000,oui
100100303:303,442,303,Bobigny Pablo Picasso - Noisy-le-Grand Mont d'Est,,3,,9b993b,ffffff,non
100100304:304,442,304,Les Courtilles - Nanterre Place de la Boule,,3,,cec92a,000000,non
100100306:306,442,306,St-Maur-Créteil - Noisy-le-Grand Mont d'Est,,3,,006cb8,ffffff,oui
100100308:308,442,308,Créteil Préfecture du Val de Marne - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,77c695,000000,non
